review_number,review_id,review_title,review_text,Score
1,R1OGKCTD3Z7AZM,"It’s just ok. If you take good care of it, it should last more than 1 summer!",  Got a good use out of this for my son we just had to make sure after we used it to empty it and let it dry then Fold it and store it away. It gets monotonous but it works if you want to keep it longer lol.,3
2,R1W6M2QT9PWJR5,Nice to float in it.,  Great to have in a small backyard. Had no troubles with filling it up with an intex machine.,4
3,R1ZN0ZY7BXVZ6K,Good size,  This pool was what I needed. It's a good size.,4
4,R1BGX1BJYPC5TN,Durable fun,  Kids love using this in summer has lasted to them jumping in and stuff,4
5,R22Z0O7XVX5GLC,Bad buy,  It was a nice size pool however there is a small leak on the bottom! We tried to find the hole nothing!. We found a new hole and the patch is a joke! We used the pool only once! Not worrh the money,3
6,R2Z4T85NIRCD8L,Waste of money,  Had this pool for a few days. Side collapsed and let all of the water out.,2
7,R23G2ZA9X7QZC3,Great price!!,  Excellent price for good quality. Very pleased!!!,5
8,R3MY4YX9AFSYU2,Flaw in design.,  The plug to drain pool is at the bottom of the pool. Since the pool is full of water it is too heavy to lift and when we did get to it the weight of the water pulled the plug out. Now we can’t use it after only a month. Only 5 days after the possible return date. Flaw in design!!,1
9,R27JA5J7J75QDA,Great buy!!,  This pool came quickly. Is affordable. My 5 yr old grandson loved it.  As did his grandma.  It is big enough for him to really enjoy water with some depth. I highly recommend.,4
10,R2XSNJVWVN5UN6,👍,  The only issue we had was blowing it up we ended up using a leaf blower lol but after that it was awesome. Great size and height. A little slippery but great,4
11,R1EAV5P97ERUHH,Deflates over night,"  Nice size, kids love it. Constantly deflates and needs to be inflated.",3
12,R1H1N6AXEOD9CY,Just Right,  A good size for children to run around or adults who need a place to stretch out for some wet coolness. The bottom does need a pad or liner of some sort under it to prevent tears and improve softness and comfort. Used a reverse vacuum to fill it in minutes. The plugs are a bit difficult but work well once seated.,4
13,R3NCKBNZCIADAY,Best purchase of the summer!,"  My grandkids LOVED this pool.  We couldn’t keep them out of it.  It was way bigger than I thought it would be and very sturdy too. Absolutely NO complaints.  I read some comments about it being hard to keep clean? I didn’t care if the water got dirty.  They didn’t care.  How can you stop it?  They were jumping in and out, screaming and having a blast.  I drained it (yes lots of water) hosed it down and refilled it the next day!!",5
14,R153D8JNJ4ZAM3,Good Quality,"  Bought this pool last year , it was $ 25 dollars , now is more than 100 wow.",4
15,R3B508UTVB5E5V,No good,  Bottom doesn’t blow up. Always seems flat. Way too hard to drain. Grew mold quickly,2
16,R3JCEGNBWIBPJ6,deflated fast!,"  I was so excited to receive this pool for the kids. Opened it, laid it out, looked good so we started putting air in the bottom first with our air compressor, Then we filled the top. Beautiful I though. Made sure the water plug was secure, then started filling. Filled it 2 inches above the first rim in the pool (maybe 7 inches high) put on the cover (bought separate) and waited to see if it would deflate. Son of a gun .. the dam pool deflated!!! Water in the pool ….nope, Gone! Husband did the air test to check where the leaks may be. One pinhole on the bottom of the top rim of the pool and one on the bottom of the bottom rim of pool. This Sucks!!! I'm not into packing all this stuff up again after going through the setting up stage. Dam holes my husband has to patch on a New just out of box pool for a bunch of upset toddlers who really wanted that Pool! I personally was hoping I could Trust this product. Now I'm out a pool, money & have Sad Toddlers I had to explain to as I am looking online for pool patches!",1
17,R20VP04H23IKHE,Great size for my lil  ones.nice size,  Like,3
18,R2LMOGMXL61HS9,Great pool!,  My son loves this pool! It is spacious enough for me and him to fit in and still have the slide in it. Good buy!,5
19,R2DL10398DJLFZ,Has a leak after the first use,"  Second time to air up this pool and one section was already deflating. Same thing happened with the last Intex pool I bought, but I decided to give it another chance. It was on grass, no rocks or sticks around, no hole to be found, just slowly leaking. (Edit: Third time to air up the pool, and now both sections are leaking air.)",2
20,R2T1NTWE6JBYW7,Daughter loves it,  Great quality very durable and it's really big. Me and my two kids fit in it comfortably.,4
